"Story","Title","Result","Date","Stability","Duration (s)"
"Title of your feature","Title of your scenario","SUCCESS","2022-07-18T11:46:22.409-05:00[America/Bogota]","0.0","10.29"
"Login Sauce demo","LogIn Sauce demo","FAILURE","2022-07-21T10:47:35.449-05:00[America/Bogota]","0.0","17.17"
