"Story","Title","Result","Date","Stability","Duration (s)"
"Add products to car","Add products to car","SUCCESS","2022-07-18T11:43:38.026-05:00[America/Bogota]","0.0","7.96"
"Title of your feature","Title of your scenario","SUCCESS","2022-07-18T11:46:22.409-05:00[America/Bogota]","0.0","10.29"
"Title of your feature","Login del usuario","PENDING","2022-07-15T17:34:41.768-05:00[America/Bogota]","0.0","0.24"
"Agrupacion","Total","SUCCESS","2022-07-21T11:39:51.818-05:00[America/Bogota]","0.0","9.89"
"Login Sauce demo","LogIn Sauce demo","FAILURE","2022-07-21T10:47:35.449-05:00[America/Bogota]","0.0","17.17"
"PhpTravelsVisa","Php travels visa","SUCCESS","2022-07-21T17:39:46.967-05:00[America/Bogota]","0.0","9.69"
