"Story","Title","Result","Date","Stability","Duration (s)"
"Add products to car","Add products to car","SUCCESS","2022-07-18T11:43:38.026-05:00[America/Bogota]","0.0","7.96"
"Agrupacion","Total","SUCCESS","2022-07-21T11:39:51.818-05:00[America/Bogota]","0.0","9.89"
"PhpTravelsVisa","Php travels visa","SUCCESS","2022-07-21T17:39:46.967-05:00[America/Bogota]","0.0","9.69"
